Category	GeneNumber	Description
J	156	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	44	Transcription
L	76	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	30	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	22	Defense mechanisms
T	35	Signal transduction mechanisms
M	89	Cell wall/membrane/envelope biogenesis
N	12	Cell motility
Z	1	Cytoskeleton
W	5	Extracellular structures
U	26	Intracellular trafficking, secretion, and vesicular transport
O	82	Posttranslational modification, protein turnover, chaperones
X	6	Mobilome: prophages, transposons
C	89	Energy production and conversion
G	47	Carbohydrate transport and metabolism
E	103	Amino acid transport and metabolism
F	47	Nucleotide transport and metabolism
H	89	Coenzyme transport and metabolism
I	90	Lipid transport and metabolism
P	50	Inorganic ion transport and metabolism
Q	54	Secondary metabolites biosynthesis, transport and catabolism
R	81	General function prediction only
S	63	Function unknown
