Category	GeneNumber	Description
J	102	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	50	Transcription
L	56	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	11	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	29	Defense mechanisms
T	84	Signal transduction mechanisms
M	100	Cell wall/membrane/envelope biogenesis
N	43	Cell motility
Z	0	Cytoskeleton
W	33	Extracellular structures
U	48	Intracellular trafficking, secretion, and vesicular transport
O	74	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	49	Energy production and conversion
G	70	Carbohydrate transport and metabolism
E	68	Amino acid transport and metabolism
F	33	Nucleotide transport and metabolism
H	77	Coenzyme transport and metabolism
I	43	Lipid transport and metabolism
P	69	Inorganic ion transport and metabolism
Q	23	Secondary metabolites biosynthesis, transport and catabolism
R	115	General function prediction only
S	73	Function unknown
