Category	GeneNumber	Description
J	184	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	151	Transcription
L	110	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	27	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	78	Defense mechanisms
T	193	Signal transduction mechanisms
M	225	Cell wall/membrane/envelope biogenesis
N	119	Cell motility
Z	0	Cytoskeleton
W	70	Extracellular structures
U	101	Intracellular trafficking, secretion, and vesicular transport
O	198	Posttranslational modification, protein turnover, chaperones
X	7	Mobilome: prophages, transposons
C	132	Energy production and conversion
G	139	Carbohydrate transport and metabolism
E	171	Amino acid transport and metabolism
F	66	Nucleotide transport and metabolism
H	142	Coenzyme transport and metabolism
I	123	Lipid transport and metabolism
P	121	Inorganic ion transport and metabolism
Q	71	Secondary metabolites biosynthesis, transport and catabolism
R	308	General function prediction only
S	151	Function unknown
