Category	GeneNumber	Description
J	170	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	89	Transcription
L	94	Replication, recombination and repair
B	3	Chromatin structure and dynamics
D	21	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	30	Defense mechanisms
T	64	Signal transduction mechanisms
M	143	Cell wall/membrane/envelope biogenesis
N	24	Cell motility
Z	2	Cytoskeleton
W	13	Extracellular structures
U	32	Intracellular trafficking, secretion, and vesicular transport
O	100	Posttranslational modification, protein turnover, chaperones
X	7	Mobilome: prophages, transposons
C	105	Energy production and conversion
G	115	Carbohydrate transport and metabolism
E	140	Amino acid transport and metabolism
F	47	Nucleotide transport and metabolism
H	106	Coenzyme transport and metabolism
I	79	Lipid transport and metabolism
P	132	Inorganic ion transport and metabolism
Q	35	Secondary metabolites biosynthesis, transport and catabolism
R	182	General function prediction only
S	87	Function unknown
