Category	GeneNumber	Description
J	140	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	126	Transcription
L	86	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	21	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	63	Defense mechanisms
T	101	Signal transduction mechanisms
M	142	Cell wall/membrane/envelope biogenesis
N	49	Cell motility
Z	0	Cytoskeleton
W	25	Extracellular structures
U	51	Intracellular trafficking, secretion, and vesicular transport
O	141	Posttranslational modification, protein turnover, chaperones
X	29	Mobilome: prophages, transposons
C	162	Energy production and conversion
G	171	Carbohydrate transport and metabolism
E	305	Amino acid transport and metabolism
F	61	Nucleotide transport and metabolism
H	122	Coenzyme transport and metabolism
I	126	Lipid transport and metabolism
P	146	Inorganic ion transport and metabolism
Q	108	Secondary metabolites biosynthesis, transport and catabolism
R	287	General function prediction only
S	144	Function unknown
