Category	GeneNumber	Description
J	135	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	125	Transcription
L	60	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	16	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	37	Defense mechanisms
T	97	Signal transduction mechanisms
M	115	Cell wall/membrane/envelope biogenesis
N	13	Cell motility
Z	0	Cytoskeleton
W	3	Extracellular structures
U	28	Intracellular trafficking, secretion, and vesicular transport
O	95	Posttranslational modification, protein turnover, chaperones
X	12	Mobilome: prophages, transposons
C	140	Energy production and conversion
G	163	Carbohydrate transport and metabolism
E	212	Amino acid transport and metabolism
F	55	Nucleotide transport and metabolism
H	108	Coenzyme transport and metabolism
I	125	Lipid transport and metabolism
P	98	Inorganic ion transport and metabolism
Q	97	Secondary metabolites biosynthesis, transport and catabolism
R	223	General function prediction only
S	123	Function unknown
