Category	GeneNumber	Description
J	141	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	116	Transcription
L	99	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	27	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	42	Defense mechanisms
T	118	Signal transduction mechanisms
M	153	Cell wall/membrane/envelope biogenesis
N	8	Cell motility
Z	0	Cytoskeleton
W	6	Extracellular structures
U	22	Intracellular trafficking, secretion, and vesicular transport
O	112	Posttranslational modification, protein turnover, chaperones
X	0	Mobilome: prophages, transposons
C	119	Energy production and conversion
G	121	Carbohydrate transport and metabolism
E	184	Amino acid transport and metabolism
F	65	Nucleotide transport and metabolism
H	114	Coenzyme transport and metabolism
I	119	Lipid transport and metabolism
P	102	Inorganic ion transport and metabolism
Q	87	Secondary metabolites biosynthesis, transport and catabolism
R	216	General function prediction only
S	115	Function unknown
