Category	GeneNumber	Description
J	141	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	124	Transcription
L	91	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	17	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	73	Defense mechanisms
T	180	Signal transduction mechanisms
M	192	Cell wall/membrane/envelope biogenesis
N	62	Cell motility
Z	0	Cytoskeleton
W	50	Extracellular structures
U	79	Intracellular trafficking, secretion, and vesicular transport
O	155	Posttranslational modification, protein turnover, chaperones
X	18	Mobilome: prophages, transposons
C	110	Energy production and conversion
G	132	Carbohydrate transport and metabolism
E	156	Amino acid transport and metabolism
F	64	Nucleotide transport and metabolism
H	125	Coenzyme transport and metabolism
I	109	Lipid transport and metabolism
P	110	Inorganic ion transport and metabolism
Q	63	Secondary metabolites biosynthesis, transport and catabolism
R	277	General function prediction only
S	127	Function unknown
