Category	GeneNumber	Description
J	101	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	125	Transcription
L	57	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	24	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	33	Defense mechanisms
T	81	Signal transduction mechanisms
M	130	Cell wall/membrane/envelope biogenesis
N	42	Cell motility
Z	0	Cytoskeleton
W	10	Extracellular structures
U	38	Intracellular trafficking, secretion, and vesicular transport
O	112	Posttranslational modification, protein turnover, chaperones
X	7	Mobilome: prophages, transposons
C	144	Energy production and conversion
G	166	Carbohydrate transport and metabolism
E	232	Amino acid transport and metabolism
F	57	Nucleotide transport and metabolism
H	117	Coenzyme transport and metabolism
I	121	Lipid transport and metabolism
P	84	Inorganic ion transport and metabolism
Q	94	Secondary metabolites biosynthesis, transport and catabolism
R	236	General function prediction only
S	134	Function unknown
