Category	GeneNumber	Description
J	147	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	110	Transcription
L	73	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	29	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	51	Defense mechanisms
T	99	Signal transduction mechanisms
M	143	Cell wall/membrane/envelope biogenesis
N	19	Cell motility
Z	0	Cytoskeleton
W	26	Extracellular structures
U	60	Intracellular trafficking, secretion, and vesicular transport
O	129	Posttranslational modification, protein turnover, chaperones
X	12	Mobilome: prophages, transposons
C	135	Energy production and conversion
G	84	Carbohydrate transport and metabolism
E	143	Amino acid transport and metabolism
F	47	Nucleotide transport and metabolism
H	122	Coenzyme transport and metabolism
I	159	Lipid transport and metabolism
P	95	Inorganic ion transport and metabolism
Q	86	Secondary metabolites biosynthesis, transport and catabolism
R	186	General function prediction only
S	149	Function unknown
