Category	GeneNumber	Description
J	172	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	69	Transcription
L	80	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	19	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	26	Defense mechanisms
T	52	Signal transduction mechanisms
M	139	Cell wall/membrane/envelope biogenesis
N	31	Cell motility
Z	3	Cytoskeleton
W	18	Extracellular structures
U	39	Intracellular trafficking, secretion, and vesicular transport
O	92	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	95	Energy production and conversion
G	89	Carbohydrate transport and metabolism
E	137	Amino acid transport and metabolism
F	46	Nucleotide transport and metabolism
H	104	Coenzyme transport and metabolism
I	68	Lipid transport and metabolism
P	109	Inorganic ion transport and metabolism
Q	26	Secondary metabolites biosynthesis, transport and catabolism
R	122	General function prediction only
S	81	Function unknown
