Category	GeneNumber	Description
J	203	Translation, ribosomal structure and biogenesis
A	2	RNA processing and modification
K	182	Transcription
L	130	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	27	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	74	Defense mechanisms
T	216	Signal transduction mechanisms
M	272	Cell wall/membrane/envelope biogenesis
N	114	Cell motility
Z	0	Cytoskeleton
W	100	Extracellular structures
U	137	Intracellular trafficking, secretion, and vesicular transport
O	218	Posttranslational modification, protein turnover, chaperones
X	8	Mobilome: prophages, transposons
C	191	Energy production and conversion
G	245	Carbohydrate transport and metabolism
E	223	Amino acid transport and metabolism
F	81	Nucleotide transport and metabolism
H	154	Coenzyme transport and metabolism
I	152	Lipid transport and metabolism
P	264	Inorganic ion transport and metabolism
Q	97	Secondary metabolites biosynthesis, transport and catabolism
R	463	General function prediction only
S	206	Function unknown
