Category	GeneNumber	Description
J	182	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	110	Transcription
L	90	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	26	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	65	Defense mechanisms
T	109	Signal transduction mechanisms
M	213	Cell wall/membrane/envelope biogenesis
N	23	Cell motility
Z	1	Cytoskeleton
W	5	Extracellular structures
U	27	Intracellular trafficking, secretion, and vesicular transport
O	153	Posttranslational modification, protein turnover, chaperones
X	14	Mobilome: prophages, transposons
C	109	Energy production and conversion
G	107	Carbohydrate transport and metabolism
E	153	Amino acid transport and metabolism
F	60	Nucleotide transport and metabolism
H	127	Coenzyme transport and metabolism
I	102	Lipid transport and metabolism
P	107	Inorganic ion transport and metabolism
Q	49	Secondary metabolites biosynthesis, transport and catabolism
R	227	General function prediction only
S	133	Function unknown
