Category	GeneNumber	Description
J	184	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	156	Transcription
L	134	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	27	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	69	Defense mechanisms
T	178	Signal transduction mechanisms
M	225	Cell wall/membrane/envelope biogenesis
N	93	Cell motility
Z	0	Cytoskeleton
W	71	Extracellular structures
U	93	Intracellular trafficking, secretion, and vesicular transport
O	192	Posttranslational modification, protein turnover, chaperones
X	17	Mobilome: prophages, transposons
C	127	Energy production and conversion
G	193	Carbohydrate transport and metabolism
E	161	Amino acid transport and metabolism
F	77	Nucleotide transport and metabolism
H	140	Coenzyme transport and metabolism
I	115	Lipid transport and metabolism
P	136	Inorganic ion transport and metabolism
Q	78	Secondary metabolites biosynthesis, transport and catabolism
R	319	General function prediction only
S	149	Function unknown
