Category	GeneNumber	Description
J	196	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	101	Transcription
L	93	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	37	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	47	Defense mechanisms
T	104	Signal transduction mechanisms
M	150	Cell wall/membrane/envelope biogenesis
N	45	Cell motility
Z	1	Cytoskeleton
W	33	Extracellular structures
U	48	Intracellular trafficking, secretion, and vesicular transport
O	145	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	173	Energy production and conversion
G	89	Carbohydrate transport and metabolism
E	185	Amino acid transport and metabolism
F	48	Nucleotide transport and metabolism
H	137	Coenzyme transport and metabolism
I	155	Lipid transport and metabolism
P	103	Inorganic ion transport and metabolism
Q	106	Secondary metabolites biosynthesis, transport and catabolism
R	228	General function prediction only
S	122	Function unknown
