Category	GeneNumber	Description
J	171	Translation, ribosomal structure and biogenesis
A	2	RNA processing and modification
K	89	Transcription
L	102	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	25	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	60	Defense mechanisms
T	139	Signal transduction mechanisms
M	194	Cell wall/membrane/envelope biogenesis
N	77	Cell motility
Z	0	Cytoskeleton
W	54	Extracellular structures
U	81	Intracellular trafficking, secretion, and vesicular transport
O	164	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	108	Energy production and conversion
G	133	Carbohydrate transport and metabolism
E	154	Amino acid transport and metabolism
F	64	Nucleotide transport and metabolism
H	131	Coenzyme transport and metabolism
I	113	Lipid transport and metabolism
P	121	Inorganic ion transport and metabolism
Q	61	Secondary metabolites biosynthesis, transport and catabolism
R	239	General function prediction only
S	109	Function unknown
