Category	GeneNumber	Description
J	137	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	95	Transcription
L	58	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	25	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	35	Defense mechanisms
T	84	Signal transduction mechanisms
M	131	Cell wall/membrane/envelope biogenesis
N	18	Cell motility
Z	0	Cytoskeleton
W	24	Extracellular structures
U	63	Intracellular trafficking, secretion, and vesicular transport
O	93	Posttranslational modification, protein turnover, chaperones
X	5	Mobilome: prophages, transposons
C	115	Energy production and conversion
G	85	Carbohydrate transport and metabolism
E	125	Amino acid transport and metabolism
F	43	Nucleotide transport and metabolism
H	113	Coenzyme transport and metabolism
I	145	Lipid transport and metabolism
P	85	Inorganic ion transport and metabolism
Q	89	Secondary metabolites biosynthesis, transport and catabolism
R	176	General function prediction only
S	137	Function unknown
