Category	GeneNumber	Description
J	146	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	130	Transcription
L	81	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	15	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	69	Defense mechanisms
T	134	Signal transduction mechanisms
M	169	Cell wall/membrane/envelope biogenesis
N	24	Cell motility
Z	1	Cytoskeleton
W	7	Extracellular structures
U	34	Intracellular trafficking, secretion, and vesicular transport
O	149	Posttranslational modification, protein turnover, chaperones
X	9	Mobilome: prophages, transposons
C	102	Energy production and conversion
G	120	Carbohydrate transport and metabolism
E	182	Amino acid transport and metabolism
F	57	Nucleotide transport and metabolism
H	94	Coenzyme transport and metabolism
I	136	Lipid transport and metabolism
P	104	Inorganic ion transport and metabolism
Q	66	Secondary metabolites biosynthesis, transport and catabolism
R	265	General function prediction only
S	162	Function unknown
