Category	GeneNumber	Description
J	108	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	44	Transcription
L	49	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	17	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	16	Defense mechanisms
T	53	Signal transduction mechanisms
M	91	Cell wall/membrane/envelope biogenesis
N	42	Cell motility
Z	2	Cytoskeleton
W	10	Extracellular structures
U	27	Intracellular trafficking, secretion, and vesicular transport
O	75	Posttranslational modification, protein turnover, chaperones
X	2	Mobilome: prophages, transposons
C	71	Energy production and conversion
G	27	Carbohydrate transport and metabolism
E	84	Amino acid transport and metabolism
F	35	Nucleotide transport and metabolism
H	57	Coenzyme transport and metabolism
I	37	Lipid transport and metabolism
P	37	Inorganic ion transport and metabolism
Q	21	Secondary metabolites biosynthesis, transport and catabolism
R	68	General function prediction only
S	48	Function unknown
