Category	GeneNumber	Description
J	183	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	129	Transcription
L	93	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	29	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	44	Defense mechanisms
T	99	Signal transduction mechanisms
M	137	Cell wall/membrane/envelope biogenesis
N	41	Cell motility
Z	1	Cytoskeleton
W	27	Extracellular structures
U	47	Intracellular trafficking, secretion, and vesicular transport
O	133	Posttranslational modification, protein turnover, chaperones
X	5	Mobilome: prophages, transposons
C	155	Energy production and conversion
G	105	Carbohydrate transport and metabolism
E	188	Amino acid transport and metabolism
F	41	Nucleotide transport and metabolism
H	125	Coenzyme transport and metabolism
I	149	Lipid transport and metabolism
P	116	Inorganic ion transport and metabolism
Q	95	Secondary metabolites biosynthesis, transport and catabolism
R	205	General function prediction only
S	129	Function unknown
