Category	GeneNumber	Description
J	166	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	184	Transcription
L	96	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	24	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	66	Defense mechanisms
T	178	Signal transduction mechanisms
M	231	Cell wall/membrane/envelope biogenesis
N	88	Cell motility
Z	2	Cytoskeleton
W	35	Extracellular structures
U	74	Intracellular trafficking, secretion, and vesicular transport
O	174	Posttranslational modification, protein turnover, chaperones
X	26	Mobilome: prophages, transposons
C	149	Energy production and conversion
G	133	Carbohydrate transport and metabolism
E	196	Amino acid transport and metabolism
F	64	Nucleotide transport and metabolism
H	141	Coenzyme transport and metabolism
I	124	Lipid transport and metabolism
P	158	Inorganic ion transport and metabolism
Q	85	Secondary metabolites biosynthesis, transport and catabolism
R	296	General function prediction only
S	144	Function unknown
