Category	GeneNumber	Description
J	195	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	124	Transcription
L	119	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	30	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	66	Defense mechanisms
T	177	Signal transduction mechanisms
M	239	Cell wall/membrane/envelope biogenesis
N	105	Cell motility
Z	1	Cytoskeleton
W	83	Extracellular structures
U	107	Intracellular trafficking, secretion, and vesicular transport
O	217	Posttranslational modification, protein turnover, chaperones
X	15	Mobilome: prophages, transposons
C	131	Energy production and conversion
G	183	Carbohydrate transport and metabolism
E	181	Amino acid transport and metabolism
F	72	Nucleotide transport and metabolism
H	145	Coenzyme transport and metabolism
I	122	Lipid transport and metabolism
P	134	Inorganic ion transport and metabolism
Q	82	Secondary metabolites biosynthesis, transport and catabolism
R	313	General function prediction only
S	150	Function unknown
