Category	GeneNumber	Description
J	150	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	121	Transcription
L	86	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	22	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	58	Defense mechanisms
T	132	Signal transduction mechanisms
M	160	Cell wall/membrane/envelope biogenesis
N	17	Cell motility
Z	1	Cytoskeleton
W	2	Extracellular structures
U	31	Intracellular trafficking, secretion, and vesicular transport
O	139	Posttranslational modification, protein turnover, chaperones
X	10	Mobilome: prophages, transposons
C	95	Energy production and conversion
G	116	Carbohydrate transport and metabolism
E	170	Amino acid transport and metabolism
F	55	Nucleotide transport and metabolism
H	110	Coenzyme transport and metabolism
I	135	Lipid transport and metabolism
P	106	Inorganic ion transport and metabolism
Q	69	Secondary metabolites biosynthesis, transport and catabolism
R	248	General function prediction only
S	148	Function unknown
