Category	GeneNumber	Description
J	166	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	105	Transcription
L	91	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	32	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	42	Defense mechanisms
T	106	Signal transduction mechanisms
M	175	Cell wall/membrane/envelope biogenesis
N	86	Cell motility
Z	1	Cytoskeleton
W	24	Extracellular structures
U	58	Intracellular trafficking, secretion, and vesicular transport
O	128	Posttranslational modification, protein turnover, chaperones
X	15	Mobilome: prophages, transposons
C	105	Energy production and conversion
G	85	Carbohydrate transport and metabolism
E	155	Amino acid transport and metabolism
F	52	Nucleotide transport and metabolism
H	115	Coenzyme transport and metabolism
I	116	Lipid transport and metabolism
P	82	Inorganic ion transport and metabolism
Q	82	Secondary metabolites biosynthesis, transport and catabolism
R	165	General function prediction only
S	145	Function unknown
