Category	GeneNumber	Description
J	192	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	136	Transcription
L	95	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	29	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	50	Defense mechanisms
T	93	Signal transduction mechanisms
M	163	Cell wall/membrane/envelope biogenesis
N	47	Cell motility
Z	1	Cytoskeleton
W	29	Extracellular structures
U	46	Intracellular trafficking, secretion, and vesicular transport
O	141	Posttranslational modification, protein turnover, chaperones
X	8	Mobilome: prophages, transposons
C	174	Energy production and conversion
G	114	Carbohydrate transport and metabolism
E	208	Amino acid transport and metabolism
F	52	Nucleotide transport and metabolism
H	139	Coenzyme transport and metabolism
I	166	Lipid transport and metabolism
P	118	Inorganic ion transport and metabolism
Q	87	Secondary metabolites biosynthesis, transport and catabolism
R	214	General function prediction only
S	130	Function unknown
