Category	GeneNumber	Description
J	122	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	108	Transcription
L	83	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	15	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	52	Defense mechanisms
T	125	Signal transduction mechanisms
M	162	Cell wall/membrane/envelope biogenesis
N	48	Cell motility
Z	0	Cytoskeleton
W	38	Extracellular structures
U	66	Intracellular trafficking, secretion, and vesicular transport
O	126	Posttranslational modification, protein turnover, chaperones
X	6	Mobilome: prophages, transposons
C	124	Energy production and conversion
G	110	Carbohydrate transport and metabolism
E	128	Amino acid transport and metabolism
F	41	Nucleotide transport and metabolism
H	87	Coenzyme transport and metabolism
I	70	Lipid transport and metabolism
P	128	Inorganic ion transport and metabolism
Q	56	Secondary metabolites biosynthesis, transport and catabolism
R	223	General function prediction only
S	103	Function unknown
