Category	GeneNumber	Description
J	119	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	43	Transcription
L	61	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	11	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	23	Defense mechanisms
T	31	Signal transduction mechanisms
M	55	Cell wall/membrane/envelope biogenesis
N	33	Cell motility
Z	0	Cytoskeleton
W	2	Extracellular structures
U	25	Intracellular trafficking, secretion, and vesicular transport
O	48	Posttranslational modification, protein turnover, chaperones
X	13	Mobilome: prophages, transposons
C	50	Energy production and conversion
G	61	Carbohydrate transport and metabolism
E	114	Amino acid transport and metabolism
F	36	Nucleotide transport and metabolism
H	74	Coenzyme transport and metabolism
I	43	Lipid transport and metabolism
P	31	Inorganic ion transport and metabolism
Q	23	Secondary metabolites biosynthesis, transport and catabolism
R	73	General function prediction only
S	46	Function unknown
