Category	GeneNumber	Description
J	110	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	67	Transcription
L	68	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	19	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	21	Defense mechanisms
T	50	Signal transduction mechanisms
M	122	Cell wall/membrane/envelope biogenesis
N	23	Cell motility
Z	4	Cytoskeleton
W	13	Extracellular structures
U	38	Intracellular trafficking, secretion, and vesicular transport
O	106	Posttranslational modification, protein turnover, chaperones
X	8	Mobilome: prophages, transposons
C	60	Energy production and conversion
G	105	Carbohydrate transport and metabolism
E	117	Amino acid transport and metabolism
F	35	Nucleotide transport and metabolism
H	79	Coenzyme transport and metabolism
I	49	Lipid transport and metabolism
P	73	Inorganic ion transport and metabolism
Q	26	Secondary metabolites biosynthesis, transport and catabolism
R	139	General function prediction only
S	88	Function unknown
