Category	GeneNumber	Description
J	150	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	138	Transcription
L	95	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	21	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	68	Defense mechanisms
T	145	Signal transduction mechanisms
M	181	Cell wall/membrane/envelope biogenesis
N	24	Cell motility
Z	1	Cytoskeleton
W	2	Extracellular structures
U	36	Intracellular trafficking, secretion, and vesicular transport
O	154	Posttranslational modification, protein turnover, chaperones
X	7	Mobilome: prophages, transposons
C	120	Energy production and conversion
G	114	Carbohydrate transport and metabolism
E	155	Amino acid transport and metabolism
F	55	Nucleotide transport and metabolism
H	117	Coenzyme transport and metabolism
I	147	Lipid transport and metabolism
P	126	Inorganic ion transport and metabolism
Q	79	Secondary metabolites biosynthesis, transport and catabolism
R	264	General function prediction only
S	165	Function unknown
