Category	GeneNumber	Description
J	120	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	46	Transcription
L	48	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	17	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	15	Defense mechanisms
T	69	Signal transduction mechanisms
M	83	Cell wall/membrane/envelope biogenesis
N	28	Cell motility
Z	1	Cytoskeleton
W	18	Extracellular structures
U	28	Intracellular trafficking, secretion, and vesicular transport
O	80	Posttranslational modification, protein turnover, chaperones
X	1	Mobilome: prophages, transposons
C	74	Energy production and conversion
G	37	Carbohydrate transport and metabolism
E	74	Amino acid transport and metabolism
F	29	Nucleotide transport and metabolism
H	75	Coenzyme transport and metabolism
I	42	Lipid transport and metabolism
P	77	Inorganic ion transport and metabolism
Q	25	Secondary metabolites biosynthesis, transport and catabolism
R	94	General function prediction only
S	72	Function unknown
