Category	GeneNumber	Description
J	111	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	83	Transcription
L	62	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	24	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	34	Defense mechanisms
T	76	Signal transduction mechanisms
M	104	Cell wall/membrane/envelope biogenesis
N	37	Cell motility
Z	1	Cytoskeleton
W	16	Extracellular structures
U	31	Intracellular trafficking, secretion, and vesicular transport
O	114	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	87	Energy production and conversion
G	62	Carbohydrate transport and metabolism
E	99	Amino acid transport and metabolism
F	33	Nucleotide transport and metabolism
H	86	Coenzyme transport and metabolism
I	86	Lipid transport and metabolism
P	81	Inorganic ion transport and metabolism
Q	54	Secondary metabolites biosynthesis, transport and catabolism
R	140	General function prediction only
S	95	Function unknown
