Category	GeneNumber	Description
J	211	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	220	Transcription
L	98	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	34	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	60	Defense mechanisms
T	161	Signal transduction mechanisms
M	219	Cell wall/membrane/envelope biogenesis
N	68	Cell motility
Z	1	Cytoskeleton
W	19	Extracellular structures
U	51	Intracellular trafficking, secretion, and vesicular transport
O	170	Posttranslational modification, protein turnover, chaperones
X	27	Mobilome: prophages, transposons
C	226	Energy production and conversion
G	260	Carbohydrate transport and metabolism
E	400	Amino acid transport and metabolism
F	95	Nucleotide transport and metabolism
H	172	Coenzyme transport and metabolism
I	175	Lipid transport and metabolism
P	160	Inorganic ion transport and metabolism
Q	143	Secondary metabolites biosynthesis, transport and catabolism
R	352	General function prediction only
S	226	Function unknown
