Category	GeneNumber	Description
J	175	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	124	Transcription
L	74	Replication, recombination and repair
B	3	Chromatin structure and dynamics
D	31	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	34	Defense mechanisms
T	115	Signal transduction mechanisms
M	169	Cell wall/membrane/envelope biogenesis
N	57	Cell motility
Z	1	Cytoskeleton
W	17	Extracellular structures
U	43	Intracellular trafficking, secretion, and vesicular transport
O	122	Posttranslational modification, protein turnover, chaperones
X	4	Mobilome: prophages, transposons
C	150	Energy production and conversion
G	137	Carbohydrate transport and metabolism
E	286	Amino acid transport and metabolism
F	73	Nucleotide transport and metabolism
H	152	Coenzyme transport and metabolism
I	138	Lipid transport and metabolism
P	102	Inorganic ion transport and metabolism
Q	89	Secondary metabolites biosynthesis, transport and catabolism
R	229	General function prediction only
S	149	Function unknown
