Category	GeneNumber	Description
J	194	Translation, ribosomal structure and biogenesis
A	3	RNA processing and modification
K	168	Transcription
L	105	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	26	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	80	Defense mechanisms
T	199	Signal transduction mechanisms
M	235	Cell wall/membrane/envelope biogenesis
N	70	Cell motility
Z	0	Cytoskeleton
W	50	Extracellular structures
U	96	Intracellular trafficking, secretion, and vesicular transport
O	226	Posttranslational modification, protein turnover, chaperones
X	5	Mobilome: prophages, transposons
C	129	Energy production and conversion
G	155	Carbohydrate transport and metabolism
E	169	Amino acid transport and metabolism
F	65	Nucleotide transport and metabolism
H	143	Coenzyme transport and metabolism
I	121	Lipid transport and metabolism
P	114	Inorganic ion transport and metabolism
Q	80	Secondary metabolites biosynthesis, transport and catabolism
R	332	General function prediction only
S	170	Function unknown
