Category	GeneNumber	Description
J	213	Translation, ribosomal structure and biogenesis
A	3	RNA processing and modification
K	210	Transcription
L	143	Replication, recombination and repair
B	5	Chromatin structure and dynamics
D	39	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	109	Defense mechanisms
T	271	Signal transduction mechanisms
M	296	Cell wall/membrane/envelope biogenesis
N	86	Cell motility
Z	0	Cytoskeleton
W	92	Extracellular structures
U	126	Intracellular trafficking, secretion, and vesicular transport
O	274	Posttranslational modification, protein turnover, chaperones
X	18	Mobilome: prophages, transposons
C	192	Energy production and conversion
G	227	Carbohydrate transport and metabolism
E	244	Amino acid transport and metabolism
F	79	Nucleotide transport and metabolism
H	162	Coenzyme transport and metabolism
I	138	Lipid transport and metabolism
P	190	Inorganic ion transport and metabolism
Q	116	Secondary metabolites biosynthesis, transport and catabolism
R	475	General function prediction only
S	253	Function unknown
