Category	GeneNumber	Description
J	134	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	90	Transcription
L	51	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	20	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	39	Defense mechanisms
T	124	Signal transduction mechanisms
M	176	Cell wall/membrane/envelope biogenesis
N	76	Cell motility
Z	0	Cytoskeleton
W	57	Extracellular structures
U	78	Intracellular trafficking, secretion, and vesicular transport
O	132	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	72	Energy production and conversion
G	101	Carbohydrate transport and metabolism
E	98	Amino acid transport and metabolism
F	37	Nucleotide transport and metabolism
H	89	Coenzyme transport and metabolism
I	67	Lipid transport and metabolism
P	104	Inorganic ion transport and metabolism
Q	41	Secondary metabolites biosynthesis, transport and catabolism
R	188	General function prediction only
S	97	Function unknown
