Category	GeneNumber	Description
J	79	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	44	Transcription
L	58	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	8	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	18	Defense mechanisms
T	75	Signal transduction mechanisms
M	85	Cell wall/membrane/envelope biogenesis
N	54	Cell motility
Z	0	Cytoskeleton
W	25	Extracellular structures
U	41	Intracellular trafficking, secretion, and vesicular transport
O	68	Posttranslational modification, protein turnover, chaperones
X	11	Mobilome: prophages, transposons
C	56	Energy production and conversion
G	74	Carbohydrate transport and metabolism
E	74	Amino acid transport and metabolism
F	31	Nucleotide transport and metabolism
H	52	Coenzyme transport and metabolism
I	33	Lipid transport and metabolism
P	70	Inorganic ion transport and metabolism
Q	11	Secondary metabolites biosynthesis, transport and catabolism
R	97	General function prediction only
S	43	Function unknown
