Category	GeneNumber	Description
J	117	Translation, ribosomal structure and biogenesis
A	2	RNA processing and modification
K	125	Transcription
L	76	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	26	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	61	Defense mechanisms
T	159	Signal transduction mechanisms
M	160	Cell wall/membrane/envelope biogenesis
N	55	Cell motility
Z	1	Cytoskeleton
W	55	Extracellular structures
U	76	Intracellular trafficking, secretion, and vesicular transport
O	131	Posttranslational modification, protein turnover, chaperones
X	8	Mobilome: prophages, transposons
C	126	Energy production and conversion
G	116	Carbohydrate transport and metabolism
E	139	Amino acid transport and metabolism
F	46	Nucleotide transport and metabolism
H	93	Coenzyme transport and metabolism
I	70	Lipid transport and metabolism
P	128	Inorganic ion transport and metabolism
Q	73	Secondary metabolites biosynthesis, transport and catabolism
R	259	General function prediction only
S	148	Function unknown
