Category	GeneNumber	Description
J	172	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	104	Transcription
L	77	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	37	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	49	Defense mechanisms
T	89	Signal transduction mechanisms
M	162	Cell wall/membrane/envelope biogenesis
N	28	Cell motility
Z	0	Cytoskeleton
W	23	Extracellular structures
U	44	Intracellular trafficking, secretion, and vesicular transport
O	146	Posttranslational modification, protein turnover, chaperones
X	7	Mobilome: prophages, transposons
C	127	Energy production and conversion
G	104	Carbohydrate transport and metabolism
E	137	Amino acid transport and metabolism
F	53	Nucleotide transport and metabolism
H	122	Coenzyme transport and metabolism
I	173	Lipid transport and metabolism
P	98	Inorganic ion transport and metabolism
Q	105	Secondary metabolites biosynthesis, transport and catabolism
R	195	General function prediction only
S	144	Function unknown
