Category	GeneNumber	Description
J	163	Translation, ribosomal structure and biogenesis
A	2	RNA processing and modification
K	94	Transcription
L	103	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	23	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	45	Defense mechanisms
T	68	Signal transduction mechanisms
M	153	Cell wall/membrane/envelope biogenesis
N	23	Cell motility
Z	2	Cytoskeleton
W	12	Extracellular structures
U	53	Intracellular trafficking, secretion, and vesicular transport
O	120	Posttranslational modification, protein turnover, chaperones
X	15	Mobilome: prophages, transposons
C	88	Energy production and conversion
G	99	Carbohydrate transport and metabolism
E	135	Amino acid transport and metabolism
F	41	Nucleotide transport and metabolism
H	105	Coenzyme transport and metabolism
I	81	Lipid transport and metabolism
P	134	Inorganic ion transport and metabolism
Q	35	Secondary metabolites biosynthesis, transport and catabolism
R	178	General function prediction only
S	96	Function unknown
