Category	GeneNumber	Description
J	100	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	73	Transcription
L	83	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	20	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	58	Defense mechanisms
T	106	Signal transduction mechanisms
M	169	Cell wall/membrane/envelope biogenesis
N	53	Cell motility
Z	0	Cytoskeleton
W	30	Extracellular structures
U	54	Intracellular trafficking, secretion, and vesicular transport
O	126	Posttranslational modification, protein turnover, chaperones
X	3	Mobilome: prophages, transposons
C	93	Energy production and conversion
G	121	Carbohydrate transport and metabolism
E	116	Amino acid transport and metabolism
F	49	Nucleotide transport and metabolism
H	112	Coenzyme transport and metabolism
I	73	Lipid transport and metabolism
P	83	Inorganic ion transport and metabolism
Q	71	Secondary metabolites biosynthesis, transport and catabolism
R	184	General function prediction only
S	99	Function unknown
