Category	GeneNumber	Description
J	153	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	108	Transcription
L	91	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	29	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	36	Defense mechanisms
T	86	Signal transduction mechanisms
M	178	Cell wall/membrane/envelope biogenesis
N	46	Cell motility
Z	1	Cytoskeleton
W	36	Extracellular structures
U	50	Intracellular trafficking, secretion, and vesicular transport
O	145	Posttranslational modification, protein turnover, chaperones
X	2	Mobilome: prophages, transposons
C	182	Energy production and conversion
G	108	Carbohydrate transport and metabolism
E	209	Amino acid transport and metabolism
F	49	Nucleotide transport and metabolism
H	141	Coenzyme transport and metabolism
I	179	Lipid transport and metabolism
P	109	Inorganic ion transport and metabolism
Q	111	Secondary metabolites biosynthesis, transport and catabolism
R	240	General function prediction only
S	121	Function unknown
