Category	GeneNumber	Description
J	162	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	134	Transcription
L	97	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	28	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	49	Defense mechanisms
T	129	Signal transduction mechanisms
M	149	Cell wall/membrane/envelope biogenesis
N	8	Cell motility
Z	1	Cytoskeleton
W	10	Extracellular structures
U	28	Intracellular trafficking, secretion, and vesicular transport
O	116	Posttranslational modification, protein turnover, chaperones
X	7	Mobilome: prophages, transposons
C	146	Energy production and conversion
G	144	Carbohydrate transport and metabolism
E	198	Amino acid transport and metabolism
F	61	Nucleotide transport and metabolism
H	133	Coenzyme transport and metabolism
I	137	Lipid transport and metabolism
P	100	Inorganic ion transport and metabolism
Q	100	Secondary metabolites biosynthesis, transport and catabolism
R	226	General function prediction only
S	125	Function unknown
