Category	GeneNumber	Description
J	173	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	110	Transcription
L	81	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	33	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	46	Defense mechanisms
T	116	Signal transduction mechanisms
M	136	Cell wall/membrane/envelope biogenesis
N	53	Cell motility
Z	1	Cytoskeleton
W	40	Extracellular structures
U	50	Intracellular trafficking, secretion, and vesicular transport
O	146	Posttranslational modification, protein turnover, chaperones
X	9	Mobilome: prophages, transposons
C	152	Energy production and conversion
G	79	Carbohydrate transport and metabolism
E	162	Amino acid transport and metabolism
F	47	Nucleotide transport and metabolism
H	117	Coenzyme transport and metabolism
I	168	Lipid transport and metabolism
P	96	Inorganic ion transport and metabolism
Q	112	Secondary metabolites biosynthesis, transport and catabolism
R	233	General function prediction only
S	122	Function unknown
